Author,DominantSeagrassSpecies,speciesCat,SpecificLocation,region,Manipulation,GPP_original,SE_original,SD_original,R_original,SE_original,SD_original,NCP_original,SE_original,SD_original,Units_original,n,method,GPP_mmolCm2d,GPP_sd,R_mmolCm2d,R_sd,NCP_mmolCm2d,NCP_sd,Comments,Source
Anton,"mixed (Halodule wrightii, Ruppia maritima)",mix,"Alabama, USA",NW Atlantic,no,245.8,,119.2,73.3,,19.9,172.5,,117.1,mmol O2 m-2 d-1,,in situ benthic incubation chamber,245.8,119.2,73.3,19.9,172.5,117.1,mean (and SD) for all post-hurricane measurements; values from Duarte et al. 2010 supplemental database and already converted from original units,"Anton, A, J Cebrian, CM Duarte, KL Heck Jr., and J Goff. 2009. Low impact of Hurricane Katrina on seagrass community structure and functioning in the northern Gulf of Mexico. Bulletin of Marine Science. 85: 45-59."
Apostolaki,Posidonia oceanica,Po,Greece,Mediterranean,no,93.2,,43.3,52.6,,28.7,39.4,,13.7,mmol O2 m-2 d-1,3,in situ benthic incubation chamber,93.2,43.3,52.6,28.7,39.4,13.7,mean (and SD) of all values; these values are from the reference P. oceanica vegetated sites,"Apostolaki, ET, M Holmer, N Marba, and I Karakassis. 2010. Metabolic imbalance in coastal vegetated (Posidonia oceanica) and unvegetated benthic ecosystems. Ecosystems. 13: 459-471. "
Asmus,Zostera noltii,Zn,Portugal,NE Atlantic,no,132.6,,51.1,50.2,,22.7,82.3,,61.1,mmol O2 m-2 d-1,,in situ bell jar (incubation chamber),132.6,51.1,50.2,22.7,82.3,61.1,mean (and SD) of all values,"Asmus, RM, M Sprung, and H Asmus. 2000. Nutrient fluxes in intertidal communities of a South European lagoon (Ria Formosa) - similarities and differences with a northern Wadden Sea bay (Sylt-Romo Bay). Hydrobiologia. 436: 217-235."
Barrón,Cymodocea nodosa,Cn,Spain,Mediterranean,no,25.7,4.7,9.4,45.7,9.9,19.8,-21.7,9.8,19.6,mmol C m-2 d-1,4,in situ benthic incubation chamber,25.7,9.4,45.7,19.8,-21.7,19.6,"mean values, Table 1","Barrón, C, N Marba, J Terrados, H Kennedy, and CM Duarte. 2004. Community metabolism and carbon budget along a gradient of seagrass (Cymodocea nodosa) colonization. Limnology and Oceanography. 49: 1642-1651."
Barrón,Posidonia oceanica,Po,Spain,Mediterranean,no,33.8,5.6,11.2,27.9,5,10,6,2.7,5.4,mol C m-2 y-1,4,in situ benthic incubation chamber,92.6,30.7,76.4,27.4,16.4,14.8,"annual means, from Table 1","Barrón, C, CM Duarte, M Frankignoulle, and AV Borges. 2006. Organic carbon metabolism and carbonate dynamics in a Mediterranean seagrass (Posidonia oceanica) meadow. Estuaries and Coasts. 29: 417-426."
Calleja,Thalassia testudinum,Tt,"Florida, USA (GoM)",NW Atlantic,no,136.2,27.1,27.1,64.9,21.3,21.3,71.3,,,mmol O2 m-2 d-1,1,in situ benthic incubation chamber,136.2,27.1,64.9,21.3,71.3,,"undisturbed meadow, values in Results section text","Calleja, ML, C Barron, JA Hale, TK Frazer, and CM Duarte. 2006. Light regulation of benthic sulfate reduction rates mediated by seagrass (Thalassia testudinum) metabolism. Estuaries and Coasts. 29: 1255-1264."
Champenois,Posidonia oceanica,Po,Corsica,Mediterranean,no,82,,18.3,63,,4.9,19,,13.6,mol O2 m-2 y-1,,in situ diel curve of O2 concentration,224.7,50.2,172.7,13.3,52,37.1,mean of diel curve method measurements,"Champenois, W, and AV Borges. 2012. Seasonal and interannual variations of community metabolism rates of a Posidonia oceanica seagrass meadow. Limnology and Oceanography. 57: 347-361."
Duarte,Zostera marina,Zm,Norway,NE Atlantic,no,1726.7,373.6,835.4,1766.7,514.8,1151.1,-3.9,206.6,462,mg O2 m-2 d-1,5,in situ benthic incubation chamber,54,11.7,55.2,16.1,-0.1,6.5,large patch,"Duarte, CM, R Martinez, and C Barron. 2002. Biomass, production and rhizome growth near the northern limit of seagrass (Zostera marina) distribution. Aquatic Botany. 72: 183-189."
Duarte,Zostera marina,Zm,Norway,NE Atlantic,no,2535.4,535.9,1198.3,2216.5,430,961.5,318.9,273,610.4,mg O2 m-2 d-1,5,in situ benthic incubation chamber,79.3,16.8,69.3,13.4,10,8.5,small patch,"Duarte, CM, R Martinez, and C Barron. 2002. Biomass, production and rhizome growth near the northern limit of seagrass (Zostera marina) distribution. Aquatic Botany. 72: 183-189."
Erftemeijer,mixed (mostly Thalassia hemprichii),mix,Indonesia (Sulawesi),Indo-Pacific,no,1.4,0.3,0.6,2.5,0.6,1,-1.1,0.3,0.4,g C m-2 d-1,,in situ bell jar (incubation chamber),43.8,0.6,78.1,1,-34.4,0.4,"mean of patch 1, 2, and 3 at site GT","Erftemeijer, PLA, R Osinga, and AE Mars. 1993. Primary production of seagrass beds in South Sulawesi (Indonesia): a comparison of habitats, methods and species. Aquatic Botany. 46: 67-90"
